2014-12-18 00:59:38,752 미세 reef.runtime.common.Launcher.main main | Launcher started with user name [puppybit]
2014-12-18 00:59:46,438 미세 reef.wake.remote.impl.ProxyEventHandler.<init> org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | ProxyEventHandler myId: socket://192.168.0.11:18472 remoteId: socket://192.168.0.11:52570 remoteSink: default handler: org.apache.reef.wake.remote.impl.RemoteSenderEventHandler@67642bf5
2014-12-18 00:59:46,439 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorManager.onEvaluatorHeartbeatMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Evaluator Node-2-1418831981585 is running
2014-12-18 00:59:46,439 보다 미세 reef.runtime.common.driver.context.ContextRepresenters.onContextStatusMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Processing context status message for context DataLoadContext-0
2014-12-18 00:59:46,439 미세 reef.runtime.common.driver.context.ContextRepresenters.onNewContext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Adding new context DataLoadContext-0.
2014-12-18 00:59:46,440 미세 reef.runtime.common.driver.context.EvaluatorContext.<init> org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Instantiated 'EvaluatorContext'
2014-12-18 00:59:46,440 보다 미세 reef.runtime.common.driver.context.ContextRepresenters.onContextStatusMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Done processing context status message for context DataLoadContext-0
2014-12-18 00:59:46,440 보다 미세 GroupCommDriverImpl.isConfigured Node-2-1418831981585-pool-18-thread-1 | ENTRY DataLoadContext-0
2014-12-18 00:59:46,441 미세 reef.runtime.common.driver.evaluator.EvaluatorManager.onEvaluatorHeartbeatMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | DONE with evaluator heartbeat from Evaluator Node-2-1418831981585
2014-12-18 00:59:46,441 보다 미세 GroupCommDriverImpl.isConfigured Node-2-1418831981585-pool-18-thread-1 | RETURN false
2014-12-18 00:59:46,442 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | TIME: End Heartbeat Node-2-1418831981585
2014-12-18 00:59:46,442 심각 edu.snu.bdcs.reef.pregel.PregelDriver$ActiveContextHandler.onNext Node-2-1418831981585-pool-18-thread-1 | Debug Test2 false
2014-12-18 00:59:46,442 보다 미세 reef.wake.remote.impl.OrderedEventStream.consume org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Event is null
2014-12-18 00:59:46,443 보다 미세 GroupCommDriverImpl.isConfigured Node-2-1418831981585-pool-18-thread-1 | ENTRY DataLoadContext-0
2014-12-18 00:59:46,443 보다 미세 GroupCommDriverImpl.isConfigured Node-2-1418831981585-pool-18-thread-1 | RETURN false
2014-12-18 00:59:46,444 보다 미세 GroupCommDriverImpl.getContextConf Node-2-1418831981585-pool-18-thread-1 | ENTRY
2014-12-18 00:59:46,446 보다 미세 GroupCommDriverImpl.getContextConf Node-2-1418831981585-pool-18-thread-1 | RETURN {"Bindings":[{"key":"org.apache.reef.evaluator.context.parameters.ContextIdentifier","value":"GroupCommunicationContext-1"}]}
2014-12-18 00:59:46,446 보다 미세 GroupCommDriverImpl.getServiceConf Node-2-1418831981585-pool-18-thread-1 | ENTRY
2014-12-18 00:59:46,456 보다 미세 GroupCommDriverImpl.getServiceConf Node-2-1418831981585-pool-18-thread-1 | RETURN {"Bindings":[{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec","value":"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler","value":"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler","value":"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort","value":"0"},{"key":"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr","value":"192.168.0.11"},{"key":"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort","value":"10460"},{"key":"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers","value":"org.apache.reef.io.network.impl.BindNSToTask"},{"key":"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers","value":"org.apache.reef.io.network.impl.UnbindNSFromTask"},{"key":"org.apache.reef.evaluator.context.parameters.ContextStopHandlers","value":"org.apache.reef.io.network.impl.NetworkServiceClosingHandler"},{"key":"org.apache.reef.evaluator.context.parameters.Services","value":"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl"},{"key":"org.apache.reef.evaluator.context.parameters.Services","value":"org.apache.reef.io.network.impl.NetworkService"}]}
2014-12-18 00:59:46,457 정보 edu.snu.bdcs.reef.pregel.PregelDriver$ActiveContextHandler.onNext Node-2-1418831981585-pool-18-thread-1 | Submitting GroupCommContext for ComputeTask to underlying context
2014-12-18 00:59:46,473 가장 미세 reef.runtime.common.driver.context.EvaluatorContext.submitContextAndService Node-2-1418831981585-pool-18-thread-1 | Submit new context: RunningEvaluator id[Node-2-1418831981585] for context id[DataLoadContext-0]
2014-12-18 00:59:46,475 미세 reef.wake.remote.impl.ProxyEventHandler.onNext Node-2-1418831981585-pool-18-thread-1 | remoteid: /192.168.0.11:52570
timestamp: 1418831986474
identifier: "Node-2-1418831981585"
context_control {
  add_context {
    parent_context_id: "DataLoadContext-0"
    context_configuration: "{\"Bindings\":[{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextIdentifier\",\"value\":\"GroupCommunicationContext-1\"}]}"
    service_configuration: "{\"Bindings\":[{\"key\":\"edu.snu.bdcs.reef.pregel.utils.DataParser\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort\",\"value\":\"0\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr\",\"value\":\"192.168.0.11\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort\",\"value\":\"10460\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers\",\"value\":\"org.apache.reef.io.network.impl.BindNSToTask\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers\",\"value\":\"org.apache.reef.io.network.impl.UnbindNSFromTask\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStartHandlers\",\"value\":\"edu.snu.bdcs.reef.pregel.utils.DataParseService$ContextStartHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStopHandlers\",\"value\":\"org.apache.reef.io.network.impl.NetworkServiceClosingHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"org.apache.reef.io.network.impl.NetworkService\"}]}"
  }
}

2014-12-18 00:59:46,475 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.onNext Node-2-1418831981585-pool-18-thread-1 | transport get link: localAddr: /192.168.0.11:18472 remoteAddr: /192.168.0.11:52570
2014-12-18 00:59:46,476 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.setLink Node-2-1418831981585-pool-18-thread-1 | thread Thread[Node-2-1418831981585-pool-18-thread-1,5,main] link localAddr: /192.168.0.11:18472 remoteAddr: /192.168.0.11:52570
2014-12-18 00:59:46,476 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.consumeQueue Node-2-1418831981585-pool-18-thread-1 | RemoteEvent localAddr=/192.168.0.11:18472 remoteAddr=/192.168.0.11:52570 sourceName= sinkName=default seq=0 event=timestamp: 1418831986474
identifier: "Node-2-1418831981585"
context_control {
  add_context {
    parent_context_id: "DataLoadContext-0"
    context_configuration: "{\"Bindings\":[{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextIdentifier\",\"value\":\"GroupCommunicationContext-1\"}]}"
    service_configuration: "{\"Bindings\":[{\"key\":\"edu.snu.bdcs.reef.pregel.utils.DataParser\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort\",\"value\":\"0\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr\",\"value\":\"192.168.0.11\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort\",\"value\":\"10460\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers\",\"value\":\"org.apache.reef.io.network.impl.BindNSToTask\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers\",\"value\":\"org.apache.reef.io.network.impl.UnbindNSFromTask\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStartHandlers\",\"value\":\"edu.snu.bdcs.reef.pregel.utils.DataParseService$ContextStartHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStopHandlers\",\"value\":\"org.apache.reef.io.network.impl.NetworkServiceClosingHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"org.apache.reef.io.network.impl.NetworkService\"}]}"
  }
}

2014-12-18 00:59:46,477 가장 미세 reef.wake.remote.transport.netty.NettyLink.write Node-2-1418831981585-pool-18-thread-1 | write [id: 0x1cb5384b, /192.168.0.11:52570 => /192.168.0.11:18472] [B@53583279
2014-12-18 00:59:46,490 가장 미세 reef.wake.remote.transport.netty.NettyServerEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-3 | Channel active. key: /192.168.0.11:52571
2014-12-18 00:59:46,492 보다 미세 reef.wake.remote.transport.netty.NettyServerEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-3 | Add connected channel ref: org.apache.reef.wake.remote.transport.netty.LinkReference@48d206ca
2014-12-18 00:59:46,553 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-3 | MessageEvent: local: /192.168.0.11:18472 remote: /192.168.0.11:52571 :: [B@54bbdd1f
2014-12-18 00:59:46,554 가장 미세 reef.wake.remote.impl.OrderedRemoteReceiverStage.onNext org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-3 | org.apache.reef.wake.remote.impl.TransportEvent@79b249ae
2014-12-18 00:59:46,554 보다 미세 reef.wake.remote.impl.OrderedPushEventHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Push-pool-1-thread-1 | org.apache.reef.wake.remote.impl.TransportEvent@79b249ae RemoteEvent localAddr=/192.168.0.11:18472 remoteAddr=/192.168.0.11:52571 sourceName= sinkName=default seq=0 event=[B@28037ced
2014-12-18 00:59:46,555 보다 미세 reef.wake.remote.impl.OrderedPushEventHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Push-pool-1-thread-1 | Value length is 73
2014-12-18 00:59:46,556 보다 미세 reef.wake.remote.impl.OrderedPullEventHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | org.apache.reef.wake.remote.impl.OrderedEventStream@38f7b4fc
2014-12-18 00:59:46,556 보다 미세 reef.wake.remote.impl.HandlerContainer.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | RemoteManager: REEF_LAUNCHER value: RemoteEvent localAddr=/192.168.0.11:18472 remoteAddr=/192.168.0.11:52571 sourceName= sinkName=default seq=0 event=[B@28037ced
2014-12-18 00:59:46,556 보다 미세 reef.wake.remote.impl.HandlerContainer.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Message handler: class org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorHeartbeatProto
2014-12-18 00:59:46,557 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | TIME: Begin Heartbeat Node-3-1418831981624
2014-12-18 00:59:46,557 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Heartbeat from Evaluator Node-3-1418831981624 with state RUNNING timestamp 1,418,831,986,436 from remoteId socket://192.168.0.11:52571
2014-12-18 00:59:46,557 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorManager.onEvaluatorHeartbeatMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Evaluator heartbeat: timestamp: 1418831986436
evaluator_status {
  evaluator_id: "Node-3-1418831981624"
  state: RUNNING
}
context_status {
  context_state: READY
  context_id: "DataLoadContext-1"
}

2014-12-18 00:59:46,558 미세 reef.runtime.common.driver.evaluator.EvaluatorControlHandler.setRemoteID org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Registering remoteId [socket://192.168.0.11:52571] for Evaluator [Node-3-1418831981624]
2014-12-18 00:59:46,558 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.getHandler org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | RemoteManager: REEF_LAUNCHER destinationIdentifier: socket://192.168.0.11:52571 messageType: org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorControlProto
2014-12-18 00:59:46,559 미세 reef.wake.remote.impl.ProxyEventHandler.<init> org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | ProxyEventHandler myId: socket://192.168.0.11:18472 remoteId: socket://192.168.0.11:52571 remoteSink: default handler: org.apache.reef.wake.remote.impl.RemoteSenderEventHandler@e8b299c
2014-12-18 00:59:46,559 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorManager.onEvaluatorHeartbeatMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Evaluator Node-3-1418831981624 is running
2014-12-18 00:59:46,559 보다 미세 reef.runtime.common.driver.context.ContextRepresenters.onContextStatusMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Processing context status message for context DataLoadContext-1
2014-12-18 00:59:46,560 미세 reef.runtime.common.driver.context.ContextRepresenters.onNewContext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Adding new context DataLoadContext-1.
2014-12-18 00:59:46,560 미세 reef.runtime.common.driver.context.EvaluatorContext.<init> org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Instantiated 'EvaluatorContext'
2014-12-18 00:59:46,560 보다 미세 reef.runtime.common.driver.context.ContextRepresenters.onContextStatusMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Done processing context status message for context DataLoadContext-1
2014-12-18 00:59:46,561 보다 미세 GroupCommDriverImpl.isConfigured Node-3-1418831981624-pool-19-thread-1 | ENTRY DataLoadContext-1
2014-12-18 00:59:46,561 미세 reef.runtime.common.driver.evaluator.EvaluatorManager.onEvaluatorHeartbeatMessage org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | DONE with evaluator heartbeat from Evaluator Node-3-1418831981624
2014-12-18 00:59:46,562 보다 미세 GroupCommDriverImpl.isConfigured Node-3-1418831981624-pool-19-thread-1 | RETURN false
2014-12-18 00:59:46,562 가장 미세 reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler.onNext org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | TIME: End Heartbeat Node-3-1418831981624
2014-12-18 00:59:46,563 보다 미세 reef.wake.remote.impl.OrderedEventStream.consume org.apache.reef.wake.remote.impl.OrderedRemoteReceiverStage_Pull-pool-2-thread-1 | Event is null
2014-12-18 00:59:46,563 심각 edu.snu.bdcs.reef.pregel.PregelDriver$ActiveContextHandler.onNext Node-3-1418831981624-pool-19-thread-1 | Debug Test2 false
2014-12-18 00:59:46,564 보다 미세 GroupCommDriverImpl.isConfigured Node-3-1418831981624-pool-19-thread-1 | ENTRY DataLoadContext-1
2014-12-18 00:59:46,564 보다 미세 GroupCommDriverImpl.isConfigured Node-3-1418831981624-pool-19-thread-1 | RETURN false
2014-12-18 00:59:46,564 보다 미세 GroupCommDriverImpl.getContextConf Node-3-1418831981624-pool-19-thread-1 | ENTRY
2014-12-18 00:59:46,566 보다 미세 GroupCommDriverImpl.getContextConf Node-3-1418831981624-pool-19-thread-1 | RETURN {"Bindings":[{"key":"org.apache.reef.evaluator.context.parameters.ContextIdentifier","value":"GroupCommunicationContext-2"}]}
2014-12-18 00:59:46,566 보다 미세 GroupCommDriverImpl.getServiceConf Node-3-1418831981624-pool-19-thread-1 | ENTRY
2014-12-18 00:59:46,572 보다 미세 GroupCommDriverImpl.getServiceConf Node-3-1418831981624-pool-19-thread-1 | RETURN {"Bindings":[{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec","value":"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler","value":"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler","value":"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl"},{"key":"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort","value":"0"},{"key":"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr","value":"192.168.0.11"},{"key":"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort","value":"10460"},{"key":"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers","value":"org.apache.reef.io.network.impl.BindNSToTask"},{"key":"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers","value":"org.apache.reef.io.network.impl.UnbindNSFromTask"},{"key":"org.apache.reef.evaluator.context.parameters.ContextStopHandlers","value":"org.apache.reef.io.network.impl.NetworkServiceClosingHandler"},{"key":"org.apache.reef.evaluator.context.parameters.Services","value":"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl"},{"key":"org.apache.reef.evaluator.context.parameters.Services","value":"org.apache.reef.io.network.impl.NetworkService"}]}
2014-12-18 00:59:46,573 정보 edu.snu.bdcs.reef.pregel.PregelDriver$ActiveContextHandler.onNext Node-3-1418831981624-pool-19-thread-1 | Submitting GroupCommContext for ComputeTask to underlying context
2014-12-18 00:59:46,589 가장 미세 reef.runtime.common.driver.context.EvaluatorContext.submitContextAndService Node-3-1418831981624-pool-19-thread-1 | Submit new context: RunningEvaluator id[Node-3-1418831981624] for context id[DataLoadContext-1]
2014-12-18 00:59:46,591 미세 reef.wake.remote.impl.ProxyEventHandler.onNext Node-3-1418831981624-pool-19-thread-1 | remoteid: /192.168.0.11:52571
timestamp: 1418831986590
identifier: "Node-3-1418831981624"
context_control {
  add_context {
    parent_context_id: "DataLoadContext-1"
    context_configuration: "{\"Bindings\":[{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextIdentifier\",\"value\":\"GroupCommunicationContext-2\"}]}"
    service_configuration: "{\"Bindings\":[{\"key\":\"edu.snu.bdcs.reef.pregel.utils.DataParser\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort\",\"value\":\"0\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr\",\"value\":\"192.168.0.11\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort\",\"value\":\"10460\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers\",\"value\":\"org.apache.reef.io.network.impl.BindNSToTask\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers\",\"value\":\"org.apache.reef.io.network.impl.UnbindNSFromTask\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStartHandlers\",\"value\":\"edu.snu.bdcs.reef.pregel.utils.DataParseService$ContextStartHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStopHandlers\",\"value\":\"org.apache.reef.io.network.impl.NetworkServiceClosingHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"org.apache.reef.io.network.impl.NetworkService\"}]}"
  }
}

2014-12-18 00:59:46,593 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.onNext Node-3-1418831981624-pool-19-thread-1 | transport get link: localAddr: /192.168.0.11:18472 remoteAddr: /192.168.0.11:52571
2014-12-18 00:59:46,593 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.setLink Node-3-1418831981624-pool-19-thread-1 | thread Thread[Node-3-1418831981624-pool-19-thread-1,5,main] link localAddr: /192.168.0.11:18472 remoteAddr: /192.168.0.11:52571
2014-12-18 00:59:46,594 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.consumeQueue Node-3-1418831981624-pool-19-thread-1 | RemoteEvent localAddr=/192.168.0.11:18472 remoteAddr=/192.168.0.11:52571 sourceName= sinkName=default seq=0 event=timestamp: 1418831986590
identifier: "Node-3-1418831981624"
context_control {
  add_context {
    parent_context_id: "DataLoadContext-1"
    context_configuration: "{\"Bindings\":[{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextIdentifier\",\"value\":\"GroupCommunicationContext-2\"}]}"
    service_configuration: "{\"Bindings\":[{\"key\":\"edu.snu.bdcs.reef.pregel.utils.DataParser\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceCodec\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.GroupCommunicationMessageCodec\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceExceptionHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.driver.ExceptionHandler\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServiceHandler\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.io.network.impl.NetworkServiceParameters$NetworkServicePort\",\"value\":\"0\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerAddr\",\"value\":\"192.168.0.11\"},{\"key\":\"org.apache.reef.io.network.naming.NameServerParameters$NameServerPort\",\"value\":\"10460\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StartHandlers\",\"value\":\"org.apache.reef.io.network.impl.BindNSToTask\"},{\"key\":\"org.apache.reef.driver.task.TaskConfigurationOptions$StopHandlers\",\"value\":\"org.apache.reef.io.network.impl.UnbindNSFromTask\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStartHandlers\",\"value\":\"edu.snu.bdcs.reef.pregel.utils.DataParseService$ContextStartHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.ContextStopHandlers\",\"value\":\"org.apache.reef.io.network.impl.NetworkServiceClosingHandler\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"edu.snu.bdcs.reef.pregel.data.PregelDataParser\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"com.microsoft.reef.io.network.nggroup.impl.task.GroupCommNetworkHandlerImpl\"},{\"key\":\"org.apache.reef.evaluator.context.parameters.Services\",\"value\":\"org.apache.reef.io.network.impl.NetworkService\"}]}"
  }
}

2014-12-18 00:59:46,597 가장 미세 reef.wake.remote.transport.netty.NettyLink.write Node-3-1418831981624-pool-19-thread-1 | write [id: 0x0cec00a1, /192.168.0.11:52571 => /192.168.0.11:18472] [B@591547a0
2014-12-18 00:59:46,710 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-2 | MessageEvent: local: /192.168.0.11:18472 remote: /192.168.0.11:52570 :: [B@4118711
2014-12-18 00:59:46,710 가장 미세 reef.wake.remote.impl.OrderedRemoteReceiverStage.onNext org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-4-thread-2 | org.apache.reef.wake.remote.impl.TransportEvent@1aba6f2d
